"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"avncyrdi.afm.gz","C:\Windows\Fonts\avncyrdi.ttf","Avenir Next Cyr W04 Demi Italic","Avenir Next Cyr W04 Demi Italic","AvenirNextCyrW04-DemiIt",FALSE,FALSE,FALSE,NA
NA,"avncyri.afm.gz","C:\Windows\Fonts\avncyri.ttf","Avenir Next Cyr W04 Italic","Avenir Next Cyr W04 Italic","AvenirNextCyrW04-Italic",FALSE,TRUE,FALSE,NA
NA,"avncyrl.afm.gz","C:\Windows\Fonts\avncyrl.ttf","Avenir Next Cyr W04 Light","Avenir Next Cyr W04 Light","AvenirNextCyrW04-Light",FALSE,FALSE,FALSE,NA
NA,"avncyrli.afm.gz","C:\Windows\Fonts\avncyrli.ttf","Avenir Next Cyr W04 Light It","Avenir Next Cyr W04 Light It","AvenirNextCyrW04-LightIt",FALSE,FALSE,FALSE,NA
NA,"avncyrr.afm.gz","C:\Windows\Fonts\avncyrr.ttf","Avenir Next Cyr W04 Regular","Avenir Next Cyr W04 Regular","AvenirNextCyrW04-Regular",FALSE,FALSE,FALSE,NA
NA,"avnltd.afm.gz","C:\Windows\Fonts\avnltd.ttf","Avenir Next LT W04 Demi","Avenir Next LT W04 Demi","AvenirNextLTW04-Demi",FALSE,FALSE,FALSE,NA
NA,"avnltdi.afm.gz","C:\Windows\Fonts\avnltdi.ttf","Avenir Next LT W04 Demi Italic","Avenir Next LT W04 Demi Italic","AvenirNextLTW04-DemiItalic",FALSE,TRUE,FALSE,NA
NA,"avnlti.afm.gz","C:\Windows\Fonts\avnlti.ttf","Avenir Next LT W04 Italic","Avenir Next LT W04 Italic","AvenirNextLTW04-Italic",FALSE,TRUE,FALSE,NA
NA,"avnltl.afm.gz","C:\Windows\Fonts\avnltl.ttf","Avenir Next LT W04 Light","Avenir Next LT W04 Light","AvenirNextLTW04-Light",FALSE,FALSE,FALSE,NA
NA,"avnltli.afm.gz","C:\Windows\Fonts\avnltli.ttf","Avenir Next LT W04 Light Italic","Avenir Next LT W04 Light Italic","AvenirNextLTW04-LightIt",FALSE,FALSE,FALSE,NA
NA,"avnltr.afm.gz","C:\Windows\Fonts\avnltr.ttf","Avenir Next LT W04 Regular","Avenir Next LT W04 Regular","AvenirNextLTW04-Regular",FALSE,FALSE,FALSE,NA
NA,"BASKVILL.afm.gz","C:\Windows\Fonts\BASKVILL.TTF","Baskerville Old Face","Baskerville Old Face","BaskOldFace",FALSE,FALSE,FALSE,NA
NA,"BAUHS93.afm.gz","C:\Windows\Fonts\BAUHS93.TTF","Bauhaus 93","Bauhaus 93","Bauhaus93",FALSE,FALSE,FALSE,NA
NA,"BELL.afm.gz","C:\Windows\Fonts\BELL.TTF","Bell MT","Bell MT","BellMT",FALSE,FALSE,FALSE,NA
NA,"BELLB.afm.gz","C:\Windows\Fonts\BELLB.TTF","Bell MT Bold","Bell MT","BellMTBold",TRUE,FALSE,FALSE,NA
NA,"BELLI.afm.gz","C:\Windows\Fonts\BELLI.TTF","Bell MT Italic","Bell MT","BellMTItalic",FALSE,TRUE,FALSE,NA
NA,"BRLNSB.afm.gz","C:\Windows\Fonts\BRLNSB.TTF","Berlin Sans FB Bold","Berlin Sans FB","BerlinSansFB-Bold",TRUE,FALSE,FALSE,NA
NA,"BRLNSR.afm.gz","C:\Windows\Fonts\BRLNSR.TTF","Berlin Sans FB","Berlin Sans FB","BerlinSansFB-Reg",FALSE,FALSE,FALSE,NA
NA,"BRLNSDB.afm.gz","C:\Windows\Fonts\BRLNSDB.TTF","Berlin Sans FB Demi Bold","Berlin Sans FB Demi","BerlinSansFBDemi-Bold",TRUE,FALSE,FALSE,NA
NA,"BERNHC.afm.gz","C:\Windows\Fonts\BERNHC.TTF","Bernard MT Condensed","Bernard MT Condensed","BernardMT-Condensed",FALSE,FALSE,FALSE,NA
NA,"ITCBLKAD.afm.gz","C:\Windows\Fonts\ITCBLKAD.TTF","Blackadder ITC","Blackadder ITC","BlackadderITC-Regular",FALSE,FALSE,FALSE,NA
NA,"BOD_R.afm.gz","C:\Windows\Fonts\BOD_R.TTF","Bodoni MT","Bodoni MT","BodoniMT",FALSE,FALSE,FALSE,NA
NA,"BOD_B.afm.gz","C:\Windows\Fonts\BOD_B.TTF","Bodoni MT Bold","Bodoni MT","BodoniMT-Bold",TRUE,FALSE,FALSE,NA
NA,"BOD_BI.afm.gz","C:\Windows\Fonts\BOD_BI.TTF","Bodoni MT Bold Italic","Bodoni MT","BodoniMT-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"BOD_I.afm.gz","C:\Windows\Fonts\BOD_I.TTF","Bodoni MT Italic","Bodoni MT","BodoniMT-Italic",FALSE,TRUE,FALSE,NA
NA,"BOD_BLAR.afm.gz","C:\Windows\Fonts\BOD_BLAR.TTF","Bodoni MT Black","Bodoni MT Black","BodoniMTBlack",FALSE,FALSE,FALSE,NA
NA,"BOD_BLAI.afm.gz","C:\Windows\Fonts\BOD_BLAI.TTF","Bodoni MT Black Italic","Bodoni MT Black","BodoniMTBlack-Italic",FALSE,TRUE,FALSE,NA
NA,"BOD_CR.afm.gz","C:\Windows\Fonts\BOD_CR.TTF","Bodoni MT Condensed","Bodoni MT Condensed","BodoniMTCondensed",FALSE,FALSE,FALSE,NA
NA,"BOD_CB.afm.gz","C:\Windows\Fonts\BOD_CB.TTF","Bodoni MT Condensed Bold","Bodoni MT Condensed","BodoniMTCondensed-Bold",TRUE,FALSE,FALSE,NA
NA,"BOD_CBI.afm.gz","C:\Windows\Fonts\BOD_CBI.TTF","Bodoni MT Condensed Bold Italic","Bodoni MT Condensed","BodoniMTCondensed-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"BOD_CI.afm.gz","C:\Windows\Fonts\BOD_CI.TTF","Bodoni MT Condensed Italic","Bodoni MT Condensed","BodoniMTCondensed-Italic",FALSE,TRUE,FALSE,NA
NA,"BOD_PSTC.afm.gz","C:\Windows\Fonts\BOD_PSTC.TTF","Bodoni MT Poster Compressed","Bodoni MT Poster Compressed","BodoniMTPosterCompressed",FALSE,FALSE,FALSE,NA
NA,"BKANT.afm.gz","C:\Windows\Fonts\BKANT.TTF","Book Antiqua","Book Antiqua","BookAntiqua",FALSE,FALSE,FALSE,NA
NA,"ANTQUAB.afm.gz","C:\Windows\Fonts\ANTQUAB.TTF","Book Antiqua Bold","Book Antiqua","BookAntiqua-Bold",TRUE,FALSE,FALSE,NA
NA,"ANTQUABI.afm.gz","C:\Windows\Fonts\ANTQUABI.TTF","Book Antiqua Bold Italic","Book Antiqua","BookAntiqua-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"ANTQUAI.afm.gz","C:\Windows\Fonts\ANTQUAI.TTF","Book Antiqua Italic","Book Antiqua","BookAntiqua-Italic",FALSE,TRUE,FALSE,NA
NA,"BOOKOS.afm.gz","C:\Windows\Fonts\BOOKOS.TTF","Bookman Old Style","Bookman Old Style","BookmanOldStyle",FALSE,FALSE,FALSE,NA
NA,"BOOKOSB.afm.gz","C:\Windows\Fonts\BOOKOSB.TTF","Bookman Old Style Bold","Bookman Old Style","BookmanOldStyle-Bold",TRUE,FALSE,FALSE,NA
NA,"BOOKOSBI.afm.gz","C:\Windows\Fonts\BOOKOSBI.TTF","Bookman Old Style Bold Italic","Bookman Old Style","BookmanOldStyle-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"BOOKOSI.afm.gz","C:\Windows\Fonts\BOOKOSI.TTF","Bookman Old Style Italic","Bookman Old Style","BookmanOldStyle-Italic",FALSE,TRUE,FALSE,NA
NA,"BSSYM7.afm.gz","C:\Windows\Fonts\BSSYM7.TTF","Bookshelf Symbol 7","Bookshelf Symbol 7","BookshelfSymbolSeven",FALSE,FALSE,TRUE,NA
NA,"BRADHITC.afm.gz","C:\Windows\Fonts\BRADHITC.TTF","Bradley Hand ITC","Bradley Hand ITC","BradleyHandITC",FALSE,FALSE,FALSE,NA
NA,"BRITANIC.afm.gz","C:\Windows\Fonts\BRITANIC.TTF","Britannic Bold","Britannic Bold","BritannicBold",FALSE,FALSE,FALSE,NA
NA,"BROADW.afm.gz","C:\Windows\Fonts\BROADW.TTF","Broadway","Broadway","Broadway",FALSE,FALSE,FALSE,NA
NA,"BRUSHSCI.afm.gz","C:\Windows\Fonts\BRUSHSCI.TTF","Brush Script MT Italic","Brush Script MT","BrushScriptMT",FALSE,TRUE,FALSE,NA
NA,"calibri.afm.gz","C:\Windows\Fonts\calibri.ttf","Calibri","Calibri","Calibri",FALSE,FALSE,FALSE,NA
NA,"calibrib.afm.gz","C:\Windows\Fonts\calibrib.ttf","Calibri Bold","Calibri","Calibri-Bold",TRUE,FALSE,FALSE,NA
NA,"calibriz.afm.gz","C:\Windows\Fonts\calibriz.ttf","Calibri Bold Italic","Calibri","Calibri-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"calibrii.afm.gz","C:\Windows\Fonts\calibrii.ttf","Calibri Italic","Calibri","Calibri-Italic",FALSE,TRUE,FALSE,NA
NA,"calibril.afm.gz","C:\Windows\Fonts\calibril.ttf","Calibri Light","Calibri Light","Calibri-Light",FALSE,FALSE,FALSE,NA
NA,"calibrili.afm.gz","C:\Windows\Fonts\calibrili.ttf","Calibri Light Italic","Calibri Light","Calibri-LightItalic",FALSE,TRUE,FALSE,NA
NA,"CALIFB.afm.gz","C:\Windows\Fonts\CALIFB.TTF","Californian FB Bold","Californian FB","CalifornianFB-Bold",TRUE,FALSE,FALSE,NA
NA,"CALIFI.afm.gz","C:\Windows\Fonts\CALIFI.TTF","Californian FB Italic","Californian FB","CalifornianFB-Italic",FALSE,TRUE,FALSE,NA
NA,"CALIFR.afm.gz","C:\Windows\Fonts\CALIFR.TTF","Californian FB","Californian FB","CalifornianFB-Reg",FALSE,FALSE,FALSE,NA
NA,"CALISTB.afm.gz","C:\Windows\Fonts\CALISTB.TTF","Calisto MT Bold","Calisto MT","CalisMTBol",TRUE,FALSE,FALSE,NA
NA,"CALIST.afm.gz","C:\Windows\Fonts\CALIST.TTF","Calisto MT","Calisto MT","CalistoMT",FALSE,FALSE,FALSE,NA
NA,"CALISTBI.afm.gz","C:\Windows\Fonts\CALISTBI.TTF","Calisto MT Bold Italic","Calisto MT","CalistoMT-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"CALISTI.afm.gz","C:\Windows\Fonts\CALISTI.TTF","Calisto MT Italic","Calisto MT","CalistoMT-Italic",FALSE,TRUE,FALSE,NA
NA,"cambriab.afm.gz","C:\Windows\Fonts\cambriab.ttf","Cambria Bold","Cambria","Cambria-Bold",TRUE,FALSE,FALSE,NA
NA,"cambriaz.afm.gz","C:\Windows\Fonts\cambriaz.ttf","Cambria Bold Italic","Cambria","Cambria-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"cambriai.afm.gz","C:\Windows\Fonts\cambriai.ttf","Cambria Italic","Cambria","Cambria-Italic",FALSE,TRUE,FALSE,NA
NA,"Candara.afm.gz","C:\Windows\Fonts\Candara.ttf","Candara","Candara","Candara",FALSE,FALSE,FALSE,NA
NA,"Candarab.afm.gz","C:\Windows\Fonts\Candarab.ttf","Candara Bold","Candara","Candara-Bold",TRUE,FALSE,FALSE,NA
NA,"Candaraz.afm.gz","C:\Windows\Fonts\Candaraz.ttf","Candara Bold Italic","Candara","Candara-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"Candarai.afm.gz","C:\Windows\Fonts\Candarai.ttf","Candara Italic","Candara","Candara-Italic",FALSE,TRUE,FALSE,NA
NA,"CASTELAR.afm.gz","C:\Windows\Fonts\CASTELAR.TTF","Castellar","Castellar","Castellar",FALSE,FALSE,FALSE,NA
NA,"CENTAUR.afm.gz","C:\Windows\Fonts\CENTAUR.TTF","Centaur","Centaur","Centaur",FALSE,FALSE,FALSE,NA
NA,"CENTURY.afm.gz","C:\Windows\Fonts\CENTURY.TTF","Century","Century","Century",FALSE,FALSE,FALSE,NA
NA,"GOTHIC.afm.gz","C:\Windows\Fonts\GOTHIC.TTF","Century Gothic","Century Gothic","CenturyGothic",FALSE,FALSE,FALSE,NA
NA,"GOTHICB.afm.gz","C:\Windows\Fonts\GOTHICB.TTF","Century Gothic Bold","Century Gothic","CenturyGothic-Bold",TRUE,FALSE,FALSE,NA
NA,"GOTHICBI.afm.gz","C:\Windows\Fonts\GOTHICBI.TTF","Century Gothic Bold Italic","Century Gothic","CenturyGothic-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"GOTHICI.afm.gz","C:\Windows\Fonts\GOTHICI.TTF","Century Gothic Italic","Century Gothic","CenturyGothic-Italic",FALSE,TRUE,FALSE,NA
NA,"CENSCBK.afm.gz","C:\Windows\Fonts\CENSCBK.TTF","Century Schoolbook","Century Schoolbook","CenturySchoolbook",FALSE,FALSE,FALSE,NA
NA,"SCHLBKB.afm.gz","C:\Windows\Fonts\SCHLBKB.TTF","Century Schoolbook Bold","Century Schoolbook","CenturySchoolbook-Bold",TRUE,FALSE,FALSE,NA
NA,"SCHLBKBI.afm.gz","C:\Windows\Fonts\SCHLBKBI.TTF","Century Schoolbook Bold Italic","Century Schoolbook","CenturySchoolbook-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"SCHLBKI.afm.gz","C:\Windows\Fonts\SCHLBKI.TTF","Century Schoolbook Italic","Century Schoolbook","CenturySchoolbook-Italic",FALSE,TRUE,FALSE,NA
NA,"CHILLER.afm.gz","C:\Windows\Fonts\CHILLER.TTF","Chiller","Chiller","Chiller-Regular",FALSE,FALSE,FALSE,NA
NA,"COLONNA.afm.gz","C:\Windows\Fonts\COLONNA.TTF","Colonna MT","Colonna MT","ColonnaMT",FALSE,FALSE,FALSE,NA
NA,"comic.afm.gz","C:\Windows\Fonts\comic.ttf","Comic Sans MS","Comic Sans MS","ComicSansMS",FALSE,FALSE,FALSE,NA
NA,"comicbd.afm.gz","C:\Windows\Fonts\comicbd.ttf","Comic Sans MS Bold","Comic Sans MS","ComicSansMS-Bold",TRUE,FALSE,FALSE,NA
NA,"comicz.afm.gz","C:\Windows\Fonts\comicz.ttf","Comic Sans MS Bold Italic","Comic Sans MS","ComicSansMS-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"comici.afm.gz","C:\Windows\Fonts\comici.ttf","Comic Sans MS Italic","Comic Sans MS","ComicSansMS-Italic",FALSE,TRUE,FALSE,NA
NA,"consola.afm.gz","C:\Windows\Fonts\consola.ttf","Consolas","Consolas","Consolas",FALSE,FALSE,FALSE,NA
NA,"consolab.afm.gz","C:\Windows\Fonts\consolab.ttf","Consolas Bold","Consolas","Consolas-Bold",TRUE,FALSE,FALSE,NA
NA,"consolaz.afm.gz","C:\Windows\Fonts\consolaz.ttf","Consolas Bold Italic","Consolas","Consolas-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"consolai.afm.gz","C:\Windows\Fonts\consolai.ttf","Consolas Italic","Consolas","Consolas-Italic",FALSE,TRUE,FALSE,NA
NA,"constan.afm.gz","C:\Windows\Fonts\constan.ttf","Constantia","Constantia","Constantia",FALSE,FALSE,FALSE,NA
NA,"constanb.afm.gz","C:\Windows\Fonts\constanb.ttf","Constantia Bold","Constantia","Constantia-Bold",TRUE,FALSE,FALSE,NA
NA,"constanz.afm.gz","C:\Windows\Fonts\constanz.ttf","Constantia Bold Italic","Constantia","Constantia-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"constani.afm.gz","C:\Windows\Fonts\constani.ttf","Constantia Italic","Constantia","Constantia-Italic",FALSE,TRUE,FALSE,NA
NA,"COOPBL.afm.gz","C:\Windows\Fonts\COOPBL.TTF","Cooper Black","Cooper Black","CooperBlack",FALSE,FALSE,FALSE,NA
NA,"COPRGTB.afm.gz","C:\Windows\Fonts\COPRGTB.TTF","Copperplate Gothic Bold","Copperplate Gothic Bold","CopperplateGothic-Bold",FALSE,FALSE,FALSE,NA
NA,"COPRGTL.afm.gz","C:\Windows\Fonts\COPRGTL.TTF","Copperplate Gothic Light","Copperplate Gothic Light","CopperplateGothic-Light",FALSE,FALSE,FALSE,NA
NA,"corbel.afm.gz","C:\Windows\Fonts\corbel.ttf","Corbel","Corbel","Corbel",FALSE,FALSE,FALSE,NA
NA,"corbelb.afm.gz","C:\Windows\Fonts\corbelb.ttf","Corbel Bold","Corbel","Corbel-Bold",TRUE,FALSE,FALSE,NA
NA,"corbelz.afm.gz","C:\Windows\Fonts\corbelz.ttf","Corbel Bold Italic","Corbel","Corbel-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"corbeli.afm.gz","C:\Windows\Fonts\corbeli.ttf","Corbel Italic","Corbel","Corbel-Italic",FALSE,TRUE,FALSE,NA
NA,"courbi.afm.gz","C:\Windows\Fonts\courbi.ttf","Courier New Bold Italic","Courier New","CourierNewPS-BoldItalicMT",TRUE,TRUE,FALSE,NA
NA,"courbd.afm.gz","C:\Windows\Fonts\courbd.ttf","Courier New Bold","Courier New","CourierNewPS-BoldMT",TRUE,FALSE,FALSE,NA
NA,"couri.afm.gz","C:\Windows\Fonts\couri.ttf","Courier New Italic","Courier New","CourierNewPS-ItalicMT",FALSE,TRUE,FALSE,NA
NA,"cour.afm.gz","C:\Windows\Fonts\cour.ttf","Courier New","Courier New","CourierNewPSMT",FALSE,FALSE,FALSE,NA
NA,"csongl.afm.gz","C:\Windows\Fonts\csongl.ttf","CSongGB18030C-Light","CSongGB18030C-Light","CSongGB18030C-Light",FALSE,FALSE,FALSE,NA
NA,"csonghwl.afm.gz","C:\Windows\Fonts\csonghwl.ttf","CSongGB18030C-LightHWL","CSongGB18030C-LightHWL","CSongGB18030C-LightHWL",FALSE,FALSE,FALSE,NA
NA,"saswcur.afm.gz","C:\Windows\Fonts\saswcur.ttf","Cumberland AMT","Cumberland AMT","CumberlandAMT",FALSE,FALSE,FALSE,NA
NA,"saswcub.afm.gz","C:\Windows\Fonts\saswcub.ttf","Cumberland AMT Bold","Cumberland AMT","CumberlandAMT-Bold",TRUE,FALSE,FALSE,NA
NA,"saswcubi.afm.gz","C:\Windows\Fonts\saswcubi.ttf","Cumberland AMT Bold Italic","Cumberland AMT","CumberlandAMT-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"saswcui.afm.gz","C:\Windows\Fonts\saswcui.ttf","Cumberland AMT Italic","Cumberland AMT","CumberlandAMT-Italic",FALSE,TRUE,FALSE,NA
NA,"CURLZ___.afm.gz","C:\Windows\Fonts\CURLZ___.TTF","Curlz MT","Curlz MT","CurlzMT",FALSE,FALSE,FALSE,NA
NA,"ebrima.afm.gz","C:\Windows\Fonts\ebrima.ttf","Ebrima","Ebrima","Ebrima",FALSE,FALSE,FALSE,NA
NA,"ebrimabd.afm.gz","C:\Windows\Fonts\ebrimabd.ttf","Ebrima Bold","Ebrima","Ebrima-Bold",TRUE,FALSE,FALSE,NA
NA,"ITCEDSCR.afm.gz","C:\Windows\Fonts\ITCEDSCR.TTF","Edwardian Script ITC","Edwardian Script ITC","EdwardianScriptITC",FALSE,FALSE,FALSE,NA
NA,"ELEPHNTI.afm.gz","C:\Windows\Fonts\ELEPHNTI.TTF","Elephant Italic","Elephant","Elephant-Italic",FALSE,TRUE,FALSE,NA
NA,"ELEPHNT.afm.gz","C:\Windows\Fonts\ELEPHNT.TTF","Elephant","Elephant","Elephant-Regular",FALSE,FALSE,FALSE,NA
NA,"ENGR.afm.gz","C:\Windows\Fonts\ENGR.TTF","Engravers MT","Engravers MT","EngraversMT",FALSE,FALSE,FALSE,NA
NA,"ERASBD.afm.gz","C:\Windows\Fonts\ERASBD.TTF","Eras Bold ITC","Eras Bold ITC","ErasITC-Bold",FALSE,FALSE,FALSE,NA
NA,"ERASDEMI.afm.gz","C:\Windows\Fonts\ERASDEMI.TTF","Eras Demi ITC","Eras Demi ITC","ErasITC-Demi",FALSE,FALSE,FALSE,NA
NA,"ERASLGHT.afm.gz","C:\Windows\Fonts\ERASLGHT.TTF","Eras Light ITC","Eras Light ITC","ErasITC-Light",FALSE,FALSE,FALSE,NA
NA,"ERASMD.afm.gz","C:\Windows\Fonts\ERASMD.TTF","Eras Medium ITC","Eras Medium ITC","ErasITC-Medium",FALSE,FALSE,FALSE,NA
NA,"esri_150.afm.gz","C:\Windows\Fonts\esri_150.ttf","ESRI AMFM Electric","ESRI AMFM Electric","ESRIAMFMElectric",FALSE,FALSE,FALSE,NA
NA,"esri_151.afm.gz","C:\Windows\Fonts\esri_151.ttf","ESRI AMFM Gas","ESRI AMFM Gas","ESRIAMFMGas",FALSE,FALSE,FALSE,NA
NA,"esri_152.afm.gz","C:\Windows\Fonts\esri_152.ttf","ESRI AMFM Sewer","ESRI AMFM Sewer","ESRIAMFMSewer",FALSE,FALSE,FALSE,NA
NA,"esri_153.afm.gz","C:\Windows\Fonts\esri_153.ttf","ESRI AMFM Water","ESRI AMFM Water","ESRIAMFMWater",FALSE,FALSE,FALSE,NA
NA,"esri_30s.afm.gz","C:\Windows\Fonts\esri_30s.ttf","ESRI ArcPad","ESRI ArcPad","ESRIArcPad",FALSE,FALSE,FALSE,NA
NA,"esri_144.afm.gz","C:\Windows\Fonts\esri_144.ttf","ESRI Arrowhead","ESRI Arrowhead","ESRIArrowhead",FALSE,FALSE,FALSE,NA
NA,"esri_34.afm.gz","C:\Windows\Fonts\esri_34.ttf","ESRI Business","ESRI Business","ESRIBusiness",FALSE,FALSE,FALSE,NA
NA,"esri_1.afm.gz","C:\Windows\Fonts\esri_1.ttf","ESRI Cartography","ESRI Cartography","ESRICartography",FALSE,FALSE,FALSE,NA
NA,"esri_375.afm.gz","C:\Windows\Fonts\esri_375.ttf","ESRI Caves 1","ESRI Caves 1","ESRICaves1",FALSE,FALSE,FALSE,NA
NA,"esri_376.afm.gz","C:\Windows\Fonts\esri_376.ttf","ESRI Caves 2","ESRI Caves 2","ESRICaves2",FALSE,FALSE,FALSE,NA
NA,"esri_377.afm.gz","C:\Windows\Fonts\esri_377.ttf","ESRI Caves 3","ESRI Caves 3","ESRICaves3",FALSE,FALSE,FALSE,NA
NA,"esri_33.afm.gz","C:\Windows\Fonts\esri_33.ttf","ESRI Climate & Precipitation","ESRI Climate & Precipitation","ESRIClimate-Precipitation",FALSE,FALSE,FALSE,NA
NA,"esri_406.afm.gz","C:\Windows\Fonts\esri_406.ttf","ESRI Commodities","ESRI Commodities","ESRICommodities",FALSE,FALSE,FALSE,NA
NA,"esri_730.afm.gz","C:\Windows\Fonts\esri_730.ttf","ESRI Conservation","ESRI Conservation","ESRIConservation",FALSE,FALSE,FALSE,NA
NA,"esri_8.afm.gz","C:\Windows\Fonts\esri_8.ttf","ESRI Crime Analysis","ESRI Crime Analysis","ESRICrimeAnalysis",FALSE,FALSE,FALSE,NA
NA,"esri_11.afm.gz","C:\Windows\Fonts\esri_11.ttf","ESRI Default Marker","ESRI Default Marker","ESRIDefaultMarker",FALSE,FALSE,FALSE,NA
NA,"esri_39.afm.gz","C:\Windows\Fonts\esri_39.ttf","ESRI Dimensioning","ESRI Dimensioning","ESRIDimensioning",FALSE,FALSE,FALSE,NA
NA,"esri_405.afm.gz","C:\Windows\Fonts\esri_405.ttf","ESRI Elements","ESRI Elements","ESRIElements",FALSE,FALSE,FALSE,NA
NA,"esri_801.afm.gz","C:\Windows\Fonts\esri_801.ttf","ESRI Enviro Hazard Analysis","ESRI Enviro Hazard Analysis","ESRIEnviroHazardAnalysis",FALSE,FALSE,FALSE,NA
NA,"esri_800.afm.gz","C:\Windows\Fonts\esri_800.ttf","ESRI Enviro Hazard Incident","ESRI Enviro Hazard Incident","ESRIEnviroHazardIncident",FALSE,FALSE,FALSE,NA
NA,"esri_802.afm.gz","C:\Windows\Fonts\esri_802.ttf","ESRI Enviro Hazard Sites","ESRI Enviro Hazard Sites","ESRIEnviroHazardSites",FALSE,FALSE,FALSE,NA
NA,"esri_2.afm.gz","C:\Windows\Fonts\esri_2.ttf","ESRI Environmental & Icons","ESRI Environmental & Icons","ESRIEnvironmental-Icons",FALSE,FALSE,FALSE,NA
NA,"esri_832.afm.gz","C:\Windows\Fonts\esri_832.ttf","ESRI ERS Infrastructures S1","ESRI ERS Infrastructures S1","ESRIERSInfrastructuresS1",FALSE,FALSE,FALSE,NA
NA,"esri_837.afm.gz","C:\Windows\Fonts\esri_837.ttf","ESRI ERS Operations S1","ESRI ERS Operations S1","ESRIERSOperationsS1",FALSE,FALSE,FALSE,NA
NA,"esri_804.afm.gz","C:\Windows\Fonts\esri_804.ttf","ESRI Fire Incident NFPA","ESRI Fire Incident NFPA","ESRIFireIncidentNFPA",FALSE,FALSE,FALSE,NA
NA,"esri_7.afm.gz","C:\Windows\Fonts\esri_7.ttf","ESRI Geology","ESRI Geology","ESRIGeology",FALSE,FALSE,FALSE,NA
NA,"esri_500.afm.gz","C:\Windows\Fonts\esri_500.ttf","ESRI Geology AGSO 1","ESRI Geology AGSO 1","ESRIGeologyAGSO1",FALSE,FALSE,FALSE,NA
NA,"esri_400.afm.gz","C:\Windows\Fonts\esri_400.ttf","ESRI Geology USGS 95-525","ESRI Geology USGS 95-525","ESRIGeologyUSGS95-525",FALSE,FALSE,FALSE,NA
NA,"esri_3.afm.gz","C:\Windows\Fonts\esri_3.ttf","ESRI Geometric Symbols","ESRI Geometric Symbols","ESRIGeometricSymbols",FALSE,FALSE,TRUE,NA
NA,"esri_803.afm.gz","C:\Windows\Fonts\esri_803.ttf","ESRI Hazardous Materials","ESRI Hazardous Materials","ESRIHazardousMaterials",FALSE,FALSE,FALSE,NA
NA,"esri_159.afm.gz","C:\Windows\Fonts\esri_159.ttf","ESRI Hydrants","ESRI Hydrants","ESRIHydrants",FALSE,FALSE,FALSE,NA
NA,"esri_216.afm.gz","C:\Windows\Fonts\esri_216.ttf","ESRI IGL Font16","ESRI IGL Font16","ESRIIGLFont16",FALSE,FALSE,FALSE,NA
NA,"esri_220.afm.gz","C:\Windows\Fonts\esri_220.ttf","ESRI IGL Font20","ESRI IGL Font20","ESRIIGLFont20",FALSE,FALSE,FALSE,NA
NA,"esri_221.afm.gz","C:\Windows\Fonts\esri_221.ttf","ESRI IGL Font21","ESRI IGL Font21","ESRIIGLFont21",FALSE,FALSE,FALSE,NA
NA,"esri_222.afm.gz","C:\Windows\Fonts\esri_222.ttf","ESRI IGL Font22","ESRI IGL Font22","ESRIIGLFont22",FALSE,FALSE,FALSE,NA
NA,"esri_223.afm.gz","C:\Windows\Fonts\esri_223.ttf","ESRI IGL Font23","ESRI IGL Font23","ESRIIGLFont23",FALSE,FALSE,FALSE,NA
NA,"esri_224.afm.gz","C:\Windows\Fonts\esri_224.ttf","ESRI IGL Font24","ESRI IGL Font24","ESRIIGLFont24",FALSE,FALSE,FALSE,NA
NA,"esri_225.afm.gz","C:\Windows\Fonts\esri_225.ttf","ESRI IGL Font25","ESRI IGL Font25","ESRIIGLFont25",FALSE,FALSE,FALSE,NA
NA,"esri_105.afm.gz","C:\Windows\Fonts\esri_105.ttf","ESRI Meteorological 01","ESRI Meteorological 01","ESRIMeteorological01",FALSE,FALSE,FALSE,NA
NA,"esri_27Mcr_2.afm.gz","C:\Windows\Fonts\esri_27Mcr_2.ttf","ESRI Mil2525C Modifiers","ESRI Mil2525C Modifiers","ESRIMil2525CModifiers",FALSE,FALSE,FALSE,NA
NA,"esri_26.afm.gz","C:\Windows\Fonts\esri_26.ttf","ESRI MilMod 01","ESRI MilMod 01","ESRIMilMod01",FALSE,FALSE,FALSE,NA
NA,"esri_19.afm.gz","C:\Windows\Fonts\esri_19.ttf","ESRI MilMod 02","ESRI MilMod 02","ESRIMilMod02",FALSE,FALSE,FALSE,NA
